source,target,value
Keybank,Top 10 21-10 Risky Lenders,100174
East Boston Savings Bank,Top 10 21-10 Risky Lenders,91944
"Guaranteed Rate, Inc",Top 10 21-10 Risky Lenders,77410
First Republic,Top 10 21-10 Risky Lenders,75974
Wells Fargo,Top 10 21-10 Risky Lenders,72640
Union Yes Federal Credit Union,Top 10 21-10 Risky Lenders,68792
Bank of America,Top 10 21-10 Risky Lenders,51956
Loandepot.com,Top 10 21-10 Risky Lenders,47579
Boston Private B&TC,Top 10 21-10 Risky Lenders,40656
"Prospect Mortgage, LLC",Top 10 21-10 Risky Lenders,40242
Top 10 21-10 Risky Lenders,Total 21-10 Risky Lending,667367
Everyone Else,Total 21-10 Risky Lending,1031187
