source,target,value
East Boston Savings Bank,Top 9-10 Risky Lenders,3504
MountainOne,Top 9-10 Risky Lenders,2575
Boston Private B&TC,Top 9-10 Risky Lenders,1606
"MSA Mortgate, LLC",Top 9-10 Risky Lenders,1111
Residential Mortgage Services,Top 9-10 Risky Lenders,962
Citizens Bank,Top 9-10 Risky Lenders,912
Cambridge Savings Bank,Top 9-10 Risky Lenders,768
Commonwealth Coop Bank,Top 9-10 Risky Lenders,642
Primelending,Top 9-10 Risky Lenders,618
Quicken Loans,Top 9-10 Risky Lenders,497
Top 9-10 Risky Lenders,Total 9-10 Risky Lending,13195
Everyone Else,Total 9-10 Risky Lending,2741
