panel_name,loan_amount,total_loan
"TRUHOME SOLUTIONS, LLC",590,94932364
TOWER FCU,580,94932364
COMMUNITY FIRST NB,580,94932364
BANK SNB,575,94932364
MWABANK,568,94932364
"ADVISORS MORTGAGE GROUP, LLC",557,94932364
EASTMAN CU,546,94932364
COUNTRYSIDE FCU,540,94932364
"HOMESVCS LENDING LLC, SERIES A",540,94932364
NESC FCU,533,94932364
GREAT LAKES CU,533,94932364
GSF MORTGAGE CORP,530,94932364
DAMASCUS CMNTY BK,528,94932364
COMMUNITY ST BK OF MO,525,94932364
CMNTY BK OAK PARK RIVER FOREST,523,94932364
EDISON NB,523,94932364
AMERICAN B&TC NA,512,94932364
NAPUS FCU,506,94932364
UNITED BANK MORTGAGE CORP,504,94932364
GREYLOCK FCU,500,94932364
EAST COAST CAPITAL CORP,500,94932364
ILLINOIS BANK & TRUST,498,94932364
UNITED CMNTY BK,475,94932364
NOTRE DAME FCU,455,94932364
SALISBURY B&TC,451,94932364
FINEMARK NB&TC,444,94932364
OAKSTAR BK,434,94932364
"BLUELEAF LENDING, LLC",434,94932364
WRIGHT PATMAN CONGRSSIONAL FCU,432,94932364
BMI FCU,432,94932364
FAIRFIELD CTY BK,417,94932364
EAGLEBANK,417,94932364
CARROLLTON BK,417,94932364
SB1 FCU,417,94932364
"CORTRUST MORTGAGE, INC.",417,94932364
MARINE BK,417,94932364
POLICE FCU,408,94932364
DARIEN ROWAYTON BK,400,94932364
ARVEST BK,396,94932364
BARRE SVG BK,395,94932364
ADVANTAGE BK,390,94932364
C&F MORTGAGE CORPORATION,379,94932364
FIRSTAR BK NA,373,94932364
UKRAINIAN SELFRELIANCE FCU,369,94932364
BANK OF COLORADO,368,94932364
FIRST COMMAND BK,365,94932364
MILL CITY CU,364,94932364
WAVE FCU,363,94932364
IDB-IIC FCU,360,94932364
FIRST MW BK,359,94932364
NUVO B&T,350,94932364
QUAD CITY B&TC,350,94932364
MILLBURY NB,350,94932364
FIRST EXCH BK,341,94932364
IBERIABANK,335,94932364
LOGIX FCU,335,94932364
GENERATION MORTGAGE COMPANY,335,94932364
INTERNATIONAL BK OF CHICAGO,333,94932364
AMERICAN FINANCIAL NETWORK INC,330,94932364
NICOLET NB,326,94932364
AFFILIATED BK,324,94932364
"FINANCE OF AMERICA REVERSE, LL",321,94932364
QUONTIC BK FSB,320,94932364
WILLAMETTE VALLEY BK,319,94932364
AMERICAN NATIONWIDE MORTGAGE C,315,94932364
GREENFIELD SVG BK,315,94932364
BANK OF SPRINGFIELD,310,94932364
TRANSPORTATION FCU,310,94932364
OPPORTUNITY BK OF MONTANA,302,94932364
ARMED FORCES BK NA,300,94932364
DEVON BK,300,94932364
PACIFIC MERC BK,300,94932364
CONGRESSIONAL FCU,290,94932364
CHEVRON FCU,289,94932364
STANFORD FCU,288,94932364
CANANDAIGUA NB&TC,288,94932364
NBT BK NA,280,94932364
MERIDIAN RESIDENTIAL CAPITAL,275,94932364
GFA FCU,269,94932364
DUBUQUE B&TC,268,94932364
"FIRST CREDIT CORP OF NY, INC",267,94932364
SUNFLOWER BK NA,266,94932364
ARLINGTON BK,266,94932364
FREEDOM NB,261,94932364
RMC VANGUARD MORTGAGE CORPORAT,260,94932364
"MYCUMORTGAGE, LLC",260,94932364
TOWNE MORTGAGE COMPANY,259,94932364
NATIONAL GRAND BK OF MARBLEH,259,94932364
SOUTHBRIDGE CU,259,94932364
AMERICAN EAGLE FNCL CU,258,94932364
EVERENCE FCU,254,94932364
INDEPENDENT BK,250,94932364
WARSAW FS&LA,246,94932364
CITIZENS ST BK,244,94932364
"MORTGAGE SERVICES III, L.L.C.",243,94932364
LIBERTY SVG BK FSB,241,94932364
TRUSTCO BK,240,94932364
MERCHANTS BK,240,94932364
LAFAYETTE FCU,240,94932364
CHARTWAY FCU,239,94932364
RANLIFE INC,238,94932364
POSTAL GOVT EMPL FCU,234,94932364
WALL STREET MORTGAGE BANKERS,230,94932364
UNITED ST SENATE EMPL FCU,227,94932364
NRL FCU,225,94932364
1ST CONSTITUTION BK,224,94932364
CELTIC BK CORP,224,94932364
BURKE & HERBERT B&TC,223,94932364
AMERICAN INTERBANC MTG LLC,218,94932364
FIRST NB OF LAYTON,218,94932364
GENERATIONS BK,207,94932364
BCB CMNTY BK,200,94932364
FIRST ST BK,196,94932364
DEPARTMENT OF CMRC FCU,196,94932364
BOULEVARD BK,194,94932364
WESTERLY CMNTY CU,192,94932364
FOUR POINTS FCU,189,94932364
TYNDALL FCU,180,94932364
TRIUMPH BK,179,94932364
FIDELITY BK,179,94932364
COCA-COLA CO FAM FCU,175,94932364
ADAMS CMNTY BK,175,94932364
CITIZENS NB OF GREATER STL,168,94932364
HERRING BK,162,94932364
THRIVENT FCU,155,94932364
GERMAN AMER BC,152,94932364
CRESCOM BK,150,94932364
"LIMA ONE CAPITAL, LLC",147,94932364
INOVA FCU,144,94932364
HINGHAM FCU,141,94932364
BLACKSTONE RIVER FCU,140,94932364
NORTHEAST CU,135,94932364
SEAPORT CU,127,94932364
WORCESTER CU,110,94932364
SAUGUSBANK A CO-OP BK,108,94932364
VANDYK MORTGAGE CORPORATION,105,94932364
NORTH CMNTY BK,100,94932364
TEWKSBURY FCU,100,94932364
CARVER FSB,100,94932364
MEMBERS 1ST FCU,85,94932364
FRB FCU,80,94932364
FIRST-CITIZENS B&TC,80,94932364
REGIONS BK,60,94932364
"CAMBRIA FINANCIAL GROUP, LLC",50,94932364
NOTRE DAME COMMUNITY FCU,47,94932364
SAINT MARYS BK CU,46,94932364
GRAFTON SUBURBAN CU,43,94932364
ON Q FINANCIAL,39,94932364
DEERE EMPL CU,36,94932364
IBM SOUTHEAST EMPL CU,35,94932364
DEPARTMENT OF INTERIOR FCU,34,94932364
CORNING FCU,30,94932364
INTOUCH CU,25,94932364
PREMIER SOURCE CU,25,94932364
SAN ANTONIO FCU,25,94932364
ZIONS FIRST NB,25,94932364
FEDEX EMPL CA FCU,23,94932364
FIRST FNCL BK NA,5,94932364
HOMESTAR BK & FS,2,94932364
