panel_name,loan_amount,total_loan
GOLDMAN SACHS BK USA,116149,94932364
FINANCE OF AMERICA MORTGAGE,115344,94932364
FIRSTRUST SVG BK,115271,94932364
"LEADER MORTGAGE COMPANY, INC.",114537,94932364
BOSTON FRFTRS CU,114416,94932364
BARRINGTON B&TC NA,113447,94932364
PMAC LENDING SERVICES INC,113093,94932364
NATIONWIDE BK,110138,94932364
FIFTH THIRD MTG CO,109911,94932364
AMERICAN NEIGHBORHOOD MORTGAGE,109347,94932364
BRAINTREE CO-OP BK,109326,94932364
BERKELEY POINT CAPITAL,108784,94932364
MANSFIELD CO-OP BK,108620,94932364
"BROKER SOLUTIONS, INC",107686,94932364
AVIDIA BK,107628,94932364
WEBSTER FIVE CENTS SVG BK,107112,94932364
BRIDGEWATER CU,105693,94932364
"HOMEWARD RESIDENTIAL, INC",105205,94932364
MORTGAGE EQUITY PARTNERS,104463,94932364
THE MONEY SOURCE,101899,94932364
NORCOM MORTGAGE,100588,94932364
FIRST COMMONS BK NA,99323,94932364
UNITED BK,98773,94932364
AMERICAN FINANCIAL RESOURCES,94131,94932364
NYCB MORTGAGE COMPANY LLC,93240,94932364
WASHINGTON TC,87091,94932364
ARK-LA-TEX FINANCIAL SERVICES,87017,94932364
NORTH EASTON SVG BK,85721,94932364
SHAMROCK FINANCIAL CORP,83659,94932364
PULTE MORTGAGE LLC,83465,94932364
ABINGTON BK,82780,94932364
COLONIAL FSB,81536,94932364
ALLIANT CU,78358,94932364
FIRST GUARANTY MORTGAGE CORP,78271,94932364
MUTUALONE BK,77689,94932364
TBI MORTGAGE COMPANY,77688,94932364
COASTAL HERITAGE BK,75663,94932364
COMMONWEALTH CO-OP BK,75185,94932364
STIFEL B&T,74245,94932364
RADIUS BK,73381,94932364
WESTFIELD BK,73064,94932364
FIRST CITIZENS FCU,71132,94932364
BAYCOAST BK,69555,94932364
CHARLES SCHWAB BK,68358,94932364
HSBC BK USA NA,67901,94932364
TIAA-CREF TC FSB,66720,94932364
GLADEWATER NB,66319,94932364
HOME LOAN INV BK FSB,66050,94932364
EAST WEST BK,65550,94932364
FIRSTBANK,65228,94932364
BAY ST SVG BK,65148,94932364
UNIBANK FOR SVG,64909,94932364
GUILD MORTGAGE COMPANY,64766,94932364
ASTORIA FEDERAL MTG. CORP.,64697,94932364
EVERETT CO-OP BK,64273,94932364
COMMUNITY FSB,64245,94932364
FALL RIVER FIVE CENTS SVGS BK,63386,94932364
BANK OF ENGLAND,63139,94932364
MILFORD FS&LA,62142,94932364
RTN FCU,61932,94932364
"E MORTGAGE MANAGEMENT, LLC",60509,94932364
CHARLES RIVER BK,59583,94932364
COASTAL HERITAGE BANK,58192,94932364
AMERICAN INTERNET MORTGAGE,57977,94932364
NORTH AMER SVG BK FSB,57629,94932364
FARMINGTON BK,57368,94932364
COASTWAY CMNTY BK,57222,94932364
PEOPLES FSB,56913,94932364
FOXBORO FED SVGS,56805,94932364
M&T RLTY CAP CORP,56566,94932364
STONEHAMBK,56234,94932364
CITIZENS BK OF PA,55503,94932364
PEOPLESBANK,55318,94932364
MASS BAY CU,54890,94932364
NATIONS LENDING CORPORATION,53613,94932364
MEMBERS PLUS CU,52919,94932364
SILICON VALLEY BK,52663,94932364
MECHANICS CO-OP BK,51953,94932364
USALLIANCE FCU,51843,94932364
WINTER HILL BK,51348,94932364
NETWORK CAPITAL FUNDING GROUP,51244,94932364
GS COMMERCIAL REAL ESTATE LP,51000,94932364
ALLY BK,50241,94932364
FEDERAL SVGS BK,50103,94932364
MID-ISLAND MORTGAGE CORP.,49465,94932364
BANC OF CA NA,48330,94932364
SCITUATE FSB,48155,94932364
NORTHFIELD BK,47692,94932364
EVOLVE B&TC,47504,94932364
ALLIED MORTGAGE GROUP,46717,94932364
MIDDLESEX FED SVG FA,46660,94932364
"CMG MORTGAGE, INC.",46432,94932364
FIDELITY CO-OP BK,46347,94932364
MUTUAL FIRST FCU,46243,94932364
"NORTHEAST HOME LOAN, LLC",45839,94932364
EAGLE BK,45812,94932364
THIRD FS&LA,45700,94932364
WEYMOUTH BK,45491,94932364
"NORTHPOINT MORTGAGE, INC.",45171,94932364
CBC NB,44064,94932364
COUNTRY BK FOR SVG,43028,94932364
"LENDERLIVE NETWORK, INC.",42920,94932364
CLINTON SVG BK,42838,94932364
"ATLANTIC HOME LENDING, INC",42575,94932364
SOUTHBRIDGE SVG BK,42368,94932364
CIT BK,41200,94932364
COLE TAYLOR BK,41128,94932364
"NFC MORTGAGE COMPANY, LLC",40292,94932364
AVON CO-OP BK,39873,94932364
INLANTA MORTGAGE,39170,94932364
STOUGHTON CO-OP BK,38573,94932364
EQUITABLE BANK,38394,94932364
ENTERPRISE B&TC,37591,94932364
"DREW MORTGAGE ASSOCIATES, INC.",37357,94932364
MASSACHUSETTS INST TECH FC,37330,94932364
SALEM FIVE CENTS SVG BK,37142,94932364
"MOVEMENT MORTGAGE, LLC",36794,94932364
CANTON CO-OP BK,36740,94932364
CRESCENT MTG CO,36729,94932364
GEORGETOWN BK,36540,94932364
HUDSON CITY SVG BK FSB,36078,94932364
STONEGATE MORTGAGE LLC,35950,94932364
WINCHESTER CO-OP BK,35620,94932364
METROPOLITAN HOME MORTGAGE,34761,94932364
RIVER WKS CU,34294,94932364
HOMEBRIDGE FINANCIAL SERVICES,34274,94932364
ROUNDPOINT MORTGAGE COMPANY,34213,94932364
WAKEFIELD CO-OP BK,33298,94932364
CUSTOMERS BK,33094,94932364
SCOTTRADE BK,32659,94932364
PROVINCE MORTGAGE ASSOCIATES,32545,94932364
BAR HARBOR BK & TR CO,32298,94932364
BAXTER CU,32008,94932364
WRENTHAM CO-OP BK,31942,94932364
WINCHESTER SVG BK,31715,94932364
FIRST INTERNET BK IN,31455,94932364
ST ANNES CU OF FALL RIVER,31195,94932364
CATHAY BK,31032,94932364
LUXURY MORTGAGE CORP.,30610,94932364
INTEGRITY FIRST FINANCIAL GR,30418,94932364
MELROSE CO-OP BK,30378,94932364
"NFM, INC",30030,94932364
TREMONT CU,29806,94932364
MAVERICK FUNDING,29260,94932364
KINECTA FCU,29151,94932364
WEBSTER FIRST FCU,28468,94932364
READING CO-OP BK,27673,94932364
BEVERLY BK,27510,94932364
INTERCONTINENTAL CAPITAL GROUP,27486,94932364
NORTHERN TC,27139,94932364
CAPE COD CO-OP BK,26954,94932364
BOFI FED BK,26155,94932364
ROSS MORTGAGE COMPANY,25965,94932364
ONEWEST BK FSB,25889,94932364
DOLLAR BK FSB,25660,94932364
KS STATEBANK,25457,94932364
"TOTAL MORTGAGE SERVICES, LLC",24726,94932364
SUNTRUST BK,24626,94932364
NATIONWIDE ADVANTAGE MORTGAGE,24522,94932364
GREAT PLAINS NB,24461,94932364
CENTERLINE MORTGAGE CAPITAL IN,24454,94932364
NORTHPOINTE BK,24261,94932364
BANK OF EASTON,24191,94932364
"GUIDANCE RESIDENTIAL, LLC",24172,94932364
TEXAS CAP BK NA,24044,94932364
WATERTOWN SVG BK,23981,94932364
TIDEWATER MORT. SERVICES INC,23928,94932364
SPENCER SVG BK,23896,94932364
ALIGN CU,23702,94932364
GOLDWATER BK NA,23329,94932364
PARAMOUNT RESIDENTIAL MORTGAGE,23246,94932364
PROFICIO BK,23185,94932364
BANK OF ME,23160,94932364
LOWELL FIVE CENT SVG BK,22498,94932364
IFREEDOM DIRECT CORP,22458,94932364
FIRST IPSWICH BK,22268,94932364
ROCKVILLE BK,22031,94932364
MIDFIRST BK,22024,94932364
NORTHEAST BK,21937,94932364
"MONUMENT MORTGAGE COMPANY, INC",21542,94932364
ONEUNITED BK,21441,94932364
BARRONS MORTGAGE GROUP,21430,94932364
SCHAEFER MORTGAGE CORP.,21399,94932364
FIRST TRADE UNION BK,21109,94932364
PROVIDENT FUNDING GROUP INC,21055,94932364
"RESMAC, INC.",20919,94932364
PAWTUCKET CU,20857,94932364
SAVINGS BK,20404,94932364
FAMILY FED SVG,20383,94932364
FIRST CHOICE LOAN SERVICES INC,20242,94932364
FIRST AMERICAN MORTGAGE TRUST,19775,94932364
NORTH MIDDLESEX SVG BK,19295,94932364
NAVEO CU,19033,94932364
BEVERLY CO-OP BK,18563,94932364
NAVIGANT CU,18103,94932364
"PRIORITY FUNDING, LLC",18025,94932364
HOWARD BK,17188,94932364
DB PRIVATE WEALTH MORTGAGE,17075,94932364
FLORIDA CMNTY BK NA,16981,94932364
"1ST ALLIANCE LENDING, LLC",16940,94932364
COMPASS BK,16672,94932364
NORTHMARK BK,16606,94932364
COLORADO FSB,16605,94932364
REGENCY MORTGAGE CORP.,16490,94932364
JG WENTWORTH HOME LENDING LLC,16431,94932364
AMERICAN BK,16381,94932364
MORTGAGE LENDERS OF AMERICA,16362,94932364
FIRST PRIORITY CU,16224,94932364
FIRST WESTERN TR BK,16150,94932364
RAYMOND JAMES BK NA,16058,94932364
"FRANKLIN FIRST FINANCIAL, LTD",15862,94932364
INLAND B&TC,15700,94932364
SAINT MARYS CU,15593,94932364
VELOCITY COMMERCIAL CAPITAL,15537,94932364
BANKUNITED NA,15357,94932364
MLD MORTGAGE INC.,15308,94932364
HOMESTEAD FUNDING CORP,15231,94932364
WORKERS CU,15065,94932364
S-BK,14907,94932364
NORTH SHORE BK A CO-OP BK,14801,94932364
PARKSIDE LENDING LLC,14726,94932364
"WATERMARK CAPITAL, INC.",14404,94932364
NORTHEAST CMNTY BK,13668,94932364
ACADEMY MORTGAGE CORPORATION,13585,94932364
"NATIONS DIRECT MORTGAGE, LLC",13528,94932364
BANK RHODE ISLAND,13216,94932364
OCEANSIDE MORTGAGE COMPANY,13211,94932364
CONGRESSIONAL BK,13188,94932364
"SIRVA MORTGAGE, INC.",12861,94932364
NATIONAL BK OF KANSAS CITY,12718,94932364
IMPAC MORTGAGE CORP.,12593,94932364
NBKC BK,12495,94932364
"EQUITY LOANS, LLC",12434,94932364
CENTRAL ONE FED CU,12329,94932364
AMERICASH,12296,94932364
GATEWAY FUNDING DIV MTG SVCS,12275,94932364
BENCHMARK BK,12262,94932364
PREMIA MORTGAGE LLC,12241,94932364
"SEMPER HOME LOANS, INC.",12140,94932364
HOLBROOK CO-OP BK,12114,94932364
WESTSTAR MORTGAGE INC,12100,94932364
BANK OF CAPE COD,12008,94932364
CAPITOL FSB,11889,94932364
FIRSTKEY MORTGAGE,11859,94932364
MILFORD NB&TC,11555,94932364
FEARON FINANCIAL LLC,11533,94932364
BRIDGEVIEW BANK MTG COMP LLC,11291,94932364
LENOX FINANCIAL MORTGAGE CORP,11091,94932364
B2R FINANCE L.P.,11064,94932364
HUNTINGTON NB,10807,94932364
INDUSTRIAL CU,10760,94932364
"EMIGRANT MORTGAGE COMPANY, INC",10577,94932364
MARLBOROUGH SVG BK,10535,94932364
GUARANTY B&TC,10178,94932364
SEMPER HOME LOANS,9958,94932364
SOUTHERN MA CU,9919,94932364
ATLANTIC HOME LOANS INC.,9708,94932364
ADMIRALS BK,9615,94932364
MERRIMACK VALLEY FCU,9440,94932364
"NETWORK FUNDING, L.P.",9344,94932364
AMER AIRLINES FCU,9156,94932364
ATHOL SVG BK,8871,94932364
CAPITAL BANK NA,8753,94932364
COVENTRY CU,8629,94932364
PRIVATE BK OF BUCKHEAD,8545,94932364
"SUN WEST MORTGAGE COMPANY, INC",8443,94932364
WEICHERT FINANCIAL SERVICES,8412,94932364
CHELSEA GROTON BK,8379,94932364
MACKINAC SVG BK FSB,8317,94932364
TAUNTON FCU,8098,94932364
LAND HOME FINANCIAL SERVICES,8006,94932364
MERRIMACK CTY SVG BK,7972,94932364
"FARM CREDIT EAST, ACA",7963,94932364
PRESIDENTIAL BK FSB,7863,94932364
"KELLER MORTGAGE, LLC",7422,94932364
COMERICA BK,7268,94932364
SIMSBURY B&TC,7227,94932364
NEW ENGLAND REGIONAL MORTGAGE,7219,94932364
CHELSEA BK,7134,94932364
HABIB AMER BK,7131,94932364
COMMUNITY CU OF LYNN,7125,94932364
MARTHA'S VINEYARD SB,7054,94932364
SAVERS CO-OP BK,6948,94932364
BANKNEWPORT,6916,94932364
PERL MORTGAGE,6911,94932364
DIME BK,6870,94932364
CONTOUR MORTGAGE CORPORATION,6813,94932364
VANGUARD FUNDING LLC,6796,94932364
AMERICAN EQUITY MORTGAGE,6794,94932364
BANKGLOUCESTER,6601,94932364
ENERGY CU,6554,94932364
ASTORIA BK,6431,94932364
NEWBURYPORT FIVE CNT SVG BK,6288,94932364
FIRST FED BK FSB,6278,94932364
CERTUSBANK NA,6225,94932364
LAKE SUNAPEE BK FSB,6109,94932364
CITY NB,6092,94932364
GUARANTY BK,6036,94932364
INDUSTRIAL & CMRL BK,5962,94932364
LIBERTY HOME EQUITY SOLUTIONS,5854,94932364
ALLIED FIRST BK SB,5839,94932364
CENTREVILLE BANK,5659,94932364
WATERSTONE MORTGAGE CORP.,5514,94932364
DRAPER AND KRAMER MORTGAGE COR,5378,94932364
NEXBANK SSB,5224,94932364
MONSON SVG BK,5219,94932364
COLONIAL SVG FA,5206,94932364
NEW ENGLAND FCU,5050,94932364
CENTREVILLE SVG BK,5025,94932364
SERVICE CU,4966,94932364
"OCMBC, INC",4938,94932364
"HOMESTAR MORTGAGE, INC.",4852,94932364
FIRST NB AMER,4842,94932364
UBS AG TAMPA BR,4806,94932364
EMIGRANT FUNDING CORP,4797,94932364
TOYOTA FNCL SVG BK,4708,94932364
DISCOVER BK,4645,94932364
RELIANT BK,4539,94932364
GUARDHILL FINANCIAL CORP,4501,94932364
UNITED NATIONS FCU,4424,94932364
BMO HARRIS BK NA,4256,94932364
TOTALBANK,4188,94932364
ST JEANS CU,4181,94932364
AMERICAN FEDERAL MORTGAGE COPR,4180,94932364
ADVANCIAL FCU,4175,94932364
"MEMBER ADVANTAGE MORTGAGE, LLC",4158,94932364
FIRST FED BK OF KS CITY,4020,94932364
REPUBLIC STATE MORTGAGE,3989,94932364
GA BKG CO,3976,94932364
BANK OF NH,3972,94932364
AMERIS BK,3936,94932364
GREENWOOD CU,3900,94932364
QUORUM FCU,3837,94932364
FIRST FED BK OF FL,3824,94932364
TOP FLITE FINANCIAL,3812,94932364
KANSAS ST BK OF MANHATTAN,3798,94932364
FIRST BK,3759,94932364
"MID AMERICA MORTGAGE, INC",3753,94932364
UKRAINIAN FCU,3706,94932364
HOMETOWN BK A CO-OP BK,3640,94932364
LEOMINSTER CU,3607,94932364
PENTUCKET BK,3567,94932364
ACCESS NB,3566,94932364
NORTH BROOKFIELD SVG BK,3560,94932364
MILLBURY FCU,3523,94932364
MILITARY FAMILY HOME LOANS,3519,94932364
WASHINGTON SVG BK,3505,94932364
FALL RIVER MUNI CU,3436,94932364
FIRST MARINER BK,3357,94932364
UNIVERSITY ISLAMIC FINANCIAL,3315,94932364
