source,target,value
JP Morgan,Boston Housing Loans,4.940599
Wells Fargo,Boston Housing Loans,4.724007
LOANDEPOT.COM,Boston Housing Loans,4.108431
Bank of America,Boston Housing Loans,3.015975
UNION YES FCU,Boston Housing Loans,2.661865
