source,target,value
East Boston Savings Bank,Top 10 lenders in Boston,3504
MountainOne,Top 10 lenders in Boston,2575
Boston Private B&TC,Top 10 lenders in Boston,1606
"MSA Mortgate, LLC",Top 10 lenders in Boston,1111
Residential Mortgage Services,Top 10 lenders in Boston,962
Citizens Bank,Top 10 lenders in Boston,912
Cambridge Savings Bank,Top 10 lenders in Boston,768
Commonwealth Coop Bank,Top 10 lenders in Boston,642
Primelending,Top 10 lenders in Boston,618
Quicken Loans,Top 10 lenders in Boston,497
Top 10 lenders in Boston,Total lending amount in Boston,13195
Others,Other lenders in Boston,2741
Other lenders in Boston,Total lending amount in Boston,2741
